path,language,text_chars,internal_links,canonical,description,classification,reasons
report/travel/malaysia-miri.html,en,6696,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/botswana-shakawe.html,ja,3342,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/portugal-oeiras.html,ko,3036,6,True,True,maintain,기본 품질 기준 충족
report/travel/australia-wagga.html,en,6130,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/dominican-laromana.html,ja,5679,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/hungary-nyiregyhaza.html,ko,3464,7,True,True,maintain,기본 품질 기준 충족
report/travel/usa-sandiego.html,en,5997,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/turkey-bursa.html,ja,7172,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/usa-oakland.html,ko,3487,7,True,True,maintain,기본 품질 기준 충족
report/travel/croatia-slavonski-brod.html,en,7134,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/french-guiana-camopi.html,ja,3172,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/zimbabwe-chitungwiza.html,ko,3276,7,True,True,maintain,기본 품질 기준 충족
report/travel/russia-ufa.html,en,7606,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/kenya-kilifi.html,ja,3401,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/albania-durres.html,ko,3402,8,True,True,maintain,기본 품질 기준 충족
report/travel/pakistan-lahore.html,en,7862,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/singapore-northeast.html,ja,3408,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/vietnam-thanhhoa.html,ko,3537,7,True,True,maintain,기본 품질 기준 충족
report/travel/italy-foggia.html,en,7053,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/ukraine-khmelnytskyi.html,ja,3224,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/india-kota.html,ko,3272,7,True,True,maintain,기본 품질 기준 충족
report/travel/hongkong-lkf.html,en,6881,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/singapore-tiong-bahru.html,ja,3454,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/lebanon-baalbek.html,ko,3470,7,True,True,maintain,기본 품질 기준 충족
report/travel/austria-korneuburg.html,en,7386,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/portugal-ponta-delgada.html,ja,3044,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/serbia-pusinski.html,ko,3625,7,True,True,maintain,기본 품질 기준 충족
report/travel/tunisia-benarous.html,en,7569,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/south-africa-standerton.html,ja,3491,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/tanzania-sinyanga.html,ko,3585,7,True,True,maintain,기본 품질 기준 충족
report/travel/honduras-choluteca.html,en,7374,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/south-africa-springs.html,ja,3942,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/spain-jerez.html,ko,3284,7,True,True,maintain,기본 품질 기준 충족
report/travel/mongolia-baganuur.html,en,7447,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/netherlands-arnhem.html,ja,2892,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/nicaragua-puerto-cabezas.html,ko,3493,7,True,True,maintain,기본 품질 기준 충족
report/travel/india-jaipur.html,en,6081,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/myanmar-laihka.html,ja,3012,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/france-orleans.html,ko,2360,7,True,True,maintain,기본 품질 기준 충족
report/travel/belarus-dokshitsy.html,en,7435,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/vietnam-hanoi.html,ja,3232,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/togo-keve.html,ko,3440,7,True,True,maintain,기본 품질 기준 충족
report/travel/lithuania-ignalina.html,en,7213,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/eritrea-embaderho.html,ja,3131,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/romania-bistrita.html,ko,3538,7,True,True,maintain,기본 품질 기준 충족
report/travel/algeria-ghardaia.html,en,7724,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/venezuela-aragua.html,ja,3348,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/austria-feldkirch.html,ko,3656,7,True,True,maintain,기본 품질 기준 충족
report/travel/zimbabwe-redcliff.html,en,6814,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/albania-tirana.html,ja,3328,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/hungary-szolnok.html,ko,3563,7,True,True,maintain,기본 품질 기준 충족
report/travel/togo-kpengal.html,en,7673,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/malawi-chitipa.html,ja,2933,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/netherlands-nijmegen.html,ko,3297,7,True,True,maintain,기본 품질 기준 충족
report/travel/libya-marsa.html,en,7227,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/chile-punta-arenas.html,ja,3198,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/myanmar-maungdaw.html,ko,3276,7,True,True,maintain,기본 품질 기준 충족
report/travel/france-montreuil.html,en,4957,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/bangladesh-kishoreganj.html,ja,5471,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/cyprus-paphos.html,ko,3339,7,True,True,maintain,기본 품질 기준 충족
report/travel/hungary-szazhalombatta.html,en,7026,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/portugal-castelobranco.html,ja,2788,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/malaysia-kulai.html,ko,3417,7,True,True,maintain,기본 품질 기준 충족
report/travel/armenia-yeghvard.html,en,7294,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/nepal-hetauda.html,ja,3375,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/malaysia-bandar-hilir.html,ko,3539,7,True,True,maintain,기본 품질 기준 충족
report/travel/france-bourges.html,en,5179,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/chad-abeche.html,ja,3253,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/guatemala-solola.html,ko,3479,7,True,True,maintain,기본 품질 기준 충족
report/travel/palestine-jenin.html,en,6719,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/guyana-corriverton.html,ja,3036,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/qatar-almamoura.html,ko,3363,7,True,True,maintain,기본 품질 기준 충족
report/travel/hongkong-lamma.html,en,6911,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/dominican-republic-san-cristobal.html,ja,3605,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/qatar-alhuwaila.html,ko,3289,7,True,True,maintain,기본 품질 기준 충족
report/travel/russia-salavat.html,en,7230,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/drc-wamia.html,ja,3017,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/kyrgyzstan-talas.html,ko,3217,7,True,True,maintain,기본 품질 기준 충족
report/travel/benin-penze.html,en,6248,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/qatar-al-abu-nakhra.html,ja,3276,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/cambodia-siem-reap.html,ko,3376,7,True,True,maintain,기본 품질 기준 충족
report/travel/tunisia-ariana.html,en,6611,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/taiwan-sanchong.html,ja,2752,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/laos-champasak.html,ko,3224,7,True,True,maintain,기본 품질 기준 충족
report/travel/cambodia-prey-veng.html,en,7083,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/north-macedonia-vrbenica.html,ja,2923,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/algeria-annaba.html,ko,3512,7,True,True,maintain,기본 품질 기준 충족
report/travel/benin-copanga.html,en,6819,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/suriname-wageningen.html,ja,2915,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/french-guiana-cayenne.html,ko,3255,7,True,True,maintain,기본 품질 기준 충족
report/travel/algeria-ouargla.html,en,7393,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/cote-divoire-alepe.html,ja,3251,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/croatia-split.html,ko,3563,7,True,True,maintain,기본 품질 기준 충족
report/travel/argentina-rosario.html,en,7080,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/congo-loango.html,ja,3559,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/russia-irkutsk.html,ko,3987,7,True,True,maintain,기본 품질 기준 충족
report/travel/pakistan-mirpurkhas.html,en,6668,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/philippines-losbanos.html,ja,3185,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/algeria-oran.html,ko,3232,7,True,True,maintain,기본 품질 기준 충족
report/travel/south-africa-springs.html,en,8017,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/lithuania-ignalina.html,ja,3270,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/liberia-harper.html,ko,3426,7,True,True,maintain,기본 품질 기준 충족
report/travel/lithuania-klaipeda.html,en,6866,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/zambia-chilonga.html,ja,3138,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/iran-semnan.html,ko,3550,7,True,True,maintain,기본 품질 기준 충족
report/travel/austria-kapfenberg.html,en,6890,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/tunisia-hiboun.html,ja,3436,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/bhutan-trongsa.html,ko,3409,7,True,True,maintain,기본 품질 기준 충족
report/travel/ukraine-bakhmut.html,en,7069,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/colombia-inirida.html,ja,3209,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/korea-buan.html,ko,3331,7,True,True,maintain,기본 품질 기준 충족
report/travel/sierraleone-koidu.html,en,6802,9,True,True,maintain,기본 품질 기준 충족
jp/report/travel/romania-alba-iulia.html,ja,3472,4,True,True,maintain,기본 품질 기준 충족
kor/report/travel/somalia-mogadishu.html,ko,3720,7,True,True,maintain,기본 품질 기준 충족
